OID_,start_DomLoc,end_DomLoc,FlowDir,multInt,long,lat,hl_link,hf_id,poi_id,hl_uri,START_X,START_Y,END_X,END_Y,order_,flowpath_id,TopWdth,TopWdthCC
58,o,i,1,0,-153.303053035999994,59.827433441099998,Alaska58,84960.000000000000000,154,coastal-Alaska58,-153.344261033000009,59.858847539599999,-153.310388482999997,59.819291847000002,1.000000000000000,wb-866,7.909388420552720,23.728165261658202
59,o,i,1,0,-153.237223465999989,59.871847603100001,Alaska59,88318.000000000000000,177,coastal-Alaska59,-153.317292479000002,59.886069864000000,-153.205318957000003,59.860180899699998,1.000000000000000,wb-929,8.021963928873889,24.065891786621702
60,o,i,1,1,-153.206594609000007,59.886412926200002,Alaska60,83275.000000000000000,148,coastal-Alaska60,-153.202298509999991,59.913181090899997,-153.205534704999991,59.860625345700001,1.000000000000000,wb-928,7.819964054070040,23.459892162210100
61,o,i,1,0,-153.272267649000014,59.895881991099998,Alaska61,259675.000000000000000,611,coastal-Alaska61,-153.284714468000004,59.922403333299997,-153.242211980999997,59.891514339899999,3.000000000000000,wb-898,17.829433666946500,53.488301000839400
62,o,i,1,1,-153.259435991000004,59.908162582700001,Alaska62,219352.000000000000000,561,coastal-Alaska62,-153.239623039999998,59.957514577900000,-153.242211980999997,59.891514339899999,2.000000000000000,wb-925,9.767097055155780,29.301291165467301
63,o,i,1,0,-149.767149765999989,59.890215945800001,Alaska63,167277.000000000000000,528,coastal-Alaska63,-149.784193907999992,59.897181576900003,-149.742122926000008,59.880848191399998,2.000000000000000,wb-940,9.782656616486010,29.347969849458000
64,o,i,1,0,-152.801612040999998,59.902382030600002,Alaska64,241196.000000000000000,584,coastal-Alaska64,-152.802516408999992,59.904736679499997,-152.811362089999989,59.888292174400000,2.000000000000000,wb-950,12.721617729557099,38.164853188671302
65,o,i,1,0,-152.830347968000012,59.894392279199998,Alaska65,69836.000000000000000,98,coastal-Alaska65,-152.857532292000002,59.901625548500000,-152.811362089999989,59.888292174400000,1.000000000000000,wb-957,6.603897616679610,19.811692850038799
66,o,i,1,0,-149.577089381000008,59.969522442799999,Alaska66,347023.000000000000000,703,coastal-Alaska66,-149.616557368000002,60.057071069599999,-149.548596505999996,59.959181838299997,2.000000000000000,wb-1003,13.093307432119699,39.279922296358997
67,o,i,1,0,-149.577215012000011,59.956475991200001,Alaska67,321829.000000000000000,675,coastal-Alaska67,-149.626266009999995,59.988070819000001,-149.561972913000005,59.952959591499997,3.000000000000000,wb-996,12.680461776642201,38.041385329926698
