OID_,long,lat,hl_link,domain,END_X,END_Y,START_X,START_Y,start_DomLoc,end_DomLoc,FlowDir,multInt,flag,poi_id,flowpath_id,order_,TopWdth,TopWdthCC,nex_id
264,-65.904052432773540,18.370920290539004,PRVI264,PRVI,-65.905307222499999,18.377164995499999,-65.905060422299997,18.370626260200002,o,i,1,0,,420,wb-1222,1.000000000000000,3.752936886289700,11.258810658869100,nex-1223
265,-67.230810827757466,18.308352654451483,PRVI265,PRVI,-67.235144697500004,18.307567020600001,-67.224468227499997,18.307610554200000,o,i,1,0,,379,wb-4416,1.000000000000000,3.115555555555560,9.346666666666669,nex-1954
266,-67.146197718250050,18.156208060353777,PRVI266,PRVI,-67.150599868900002,18.156133510899998,-67.142442866400003,18.158967978600000,o,i,1,0,,380,wb-1562,1.000000000000000,3.115555555555560,9.346666666666669,nex-1563
267,-67.129083145770494,18.136666525240003,PRVI267,PRVI,-67.130915138500001,18.134803958100001,-67.126208994400002,18.140142306600001,o,i,1,0,,232,wb-4907,1.000000000000000,3.115555555555560,9.346666666666669,nex-780
268,-67.165091218085195,18.127790450468979,PRVI268,PRVI,-67.166042806500002,18.127011168799999,-67.160421804799995,18.128433302700000,o,i,1,0,,238,wb-930,1.000000000000000,3.115555555555560,9.346666666666669,nex-931
269,-67.044131174414133,17.976923768717029,PRVI269,PRVI,-67.042308765800001,17.974616326000000,-67.044461233199996,17.978512927099999,o,i,1,0,,240,wb-2732,1.000000000000000,3.633681525658120,10.901044576974400,tnx-1000000123
270,-67.121343603624382,18.118940460533850,PRVI270,PRVI,-67.122066300100002,18.119202241200000,-67.116209057700004,18.117914366899999,o,i,1,0,,248,wb-4813,1.000000000000000,3.115555555555560,9.346666666666669,nex-1148
271,-65.802504587316832,18.147355096360684,PRVI271,PRVI,-65.799404585800005,18.146528196199998,-65.807392388500006,18.158857133000001,o,i,1,0,,250,wb-924,1.000000000000000,3.467100313851020,10.401300941553099,nex-925
272,-67.171146067437007,18.102755078384234,PRVI272,PRVI,-67.172214608000004,18.102502977200000,-67.166018606099996,18.102636494999999,o,i,1,0,,255,wb-4781,1.000000000000000,3.115555555555560,9.346666666666669,nex-2492
273,-67.115608456964651,18.269238161911687,PRVI273,PRVI,-67.115871724700000,18.270041653200000,-67.111137591900004,18.262396009400000,o,i,1,0,,268,wb-4709,1.000000000000000,3.115555555555560,9.346666666666669,nex-407
274,-65.395975130547811,18.123235168468284,PRVI274,PRVI,-65.391397726099996,18.118382727899998,-65.416858067700005,18.139212733600001,o,i,1,0,,281,wb-1315,1.000000000000000,4.965870057607440,14.897610172822301,nex-1316
275,-66.606601802531145,18.007841025343112,PRVI275,PRVI,-66.624201904000003,17.991606270799998,-66.607709032599999,18.012482943900000,o,i,1,1,,291,wb-1212,1.000000000000000,6.176689094499590,18.530067283498799,nex-1213
276,-65.567913723739309,18.098717191645108,PRVI276,PRVI,-65.569298580700007,18.100423719700000,-65.562290511699999,18.095613318400002,o,i,1,0,,296,wb-4638,1.000000000000000,3.115555555555560,9.346666666666669,nex-2643
277,-65.306562517346265,18.314028562767987,PRVI277,PRVI,-65.302962502300005,18.310622985799998,-65.308677904099994,18.317284054400002,o,i,1,0,,308,wb-1887,1.000000000000000,3.115555555555560,9.346666666666669,nex-1888
278,-65.453574060894141,18.142690199593062,PRVI278,PRVI,-65.453365745699998,18.144458201199999,-65.455517346199997,18.135883398699999,o,i,1,0,,323,wb-1383,1.000000000000000,3.658981898477770,10.976945695433299,nex-1384
