OID_,hl_link,long,lat,start_DomL,end_DomLoc,multInt,FlowDir,flag,hf_id,poi_id,hl_uri,flowpath_id,order_,TopWdth,TopWdthCC,START_X,START_Y,END_X,END_Y
346,HI350,-156.994267614702238,21.078929366371572,o,i,0,1,,80000500000927.000000000000000,350,coastal-HI350,wb-1932,1.000000000000000,3.540509108377010,10.621527325131000,-156.974483701999986,21.101928991800001,-156.994609902000008,21.077736993399999
347,HI351,-157.008777944351408,21.086256567844320,o,i,0,1,,80000500000325.000000000000000,305,coastal-HI351,wb-1970,1.000000000000000,4.737360180884620,14.212080542653901,-156.995544235000011,21.099598392200001,-157.011684035000002,21.082655126700001
348,HI352,-156.961306902700386,21.068867907619680,o,i,0,1,,80000500000202.000000000000000,291,coastal-HI352,wb-2148,1.000000000000000,3.983050507641870,11.949151522925600,-156.954313702999997,21.079850326100001,-156.961849835999999,21.067786193500002
349,HI353,-157.126552294286910,21.099177580803392,o,i,0,1,,80000500000904.000000000000000,346,coastal-HI353,wb-1933,1.000000000000000,3.618877265685260,10.856631797055799,-157.132076630000000,21.109484193299998,-157.126304430999994,21.098230593899999
350,HI354,-157.175275553407232,21.093303983681558,o,i,0,1,,80000500001068.000000000000000,360,coastal-HI354,wb-1915,1.000000000000000,2.685178657700410,8.055535973101220,-157.173094829000007,21.112520193700000,-157.174832562000006,21.092071994900000
351,HI355,-156.752286353834307,21.102767007748259,o,i,0,1,,80000500000408.000000000000000,309,coastal-HI355,wb-1966,1.000000000000000,2.751076030775380,8.253228092326150,-156.768974041999996,21.114844388400002,-156.751389042999989,21.101795522300002
352,HI356,-157.008533000800867,21.085994790350036,o,i,0,1,,80000500001092.000000000000000,364,coastal-HI356,wb-2021,1.000000000000000,5.555836311632390,16.667508934897199,-157.007248234999992,21.086458526400001,-157.010833501000008,21.082170593299999
353,HI358,-157.048208728217048,21.106794251666805,o,i,0,1,,80000500001082.000000000000000,363,coastal-HI358,wb-1913,1.000000000000000,3.943052972306580,11.829158916919701,-157.034394099999986,21.119428124799999,-157.050870766000003,21.100646926100001
354,HI359,-160.164333326057061,21.918737746563025,o,i,0,1,,80000800000120.000000000000000,621,coastal-HI359,wb-4686,1.000000000000000,5.861051489005850,17.583154467017501,-160.144829625999989,21.910121439899999,-160.177647223999998,21.924036039200001
355,HI360,-160.142990432405611,21.873636120472998,o,i,0,1,,80000800000175.000000000000000,622,coastal-HI360,wb-4683,1.000000000000000,3.287002638964800,9.861007916894390,-160.142740492999991,21.887130841600001,-160.143141025999995,21.872991709400001
356,HI361,-160.155194005940189,21.931043610875172,o,i,0,1,,80000800000395.000000000000000,623,coastal-HI361,wb-4692,1.000000000000000,6.684611279429740,20.053833838289201,-160.121338694000002,21.919269105700000,-160.156535292000001,21.931421705100000
357,HI362,-160.160412068657081,21.924826730579770,o,i,0,1,,80000800000064.000000000000000,620,coastal-HI362,wb-4703,1.000000000000000,3.310750364200430,9.932251092601289,-160.158067824999989,21.922313239099999,-160.163648891000008,21.927975438800001
358,HI363,-157.855470614732894,21.319624974662826,o,i,0,1,,80000600002697.000000000000000,529,coastal-HI363,wb-2529,1.000000000000000,6.566439484647690,19.699318453943100,-157.846012801000001,21.325208789200001,-157.855856800999987,21.319431522999999
359,HI364,-158.052524251020770,21.339549832992386,o,i,0,1,,80000600001494.000000000000000,462,coastal-HI364,wb-2534,1.000000000000000,7.972846058212680,23.918538174638002,-158.055569326000011,21.347515990200002,-158.037044994000013,21.334321190899999
360,HI365,-158.099455880057377,21.325564159117796,o,i,0,1,,80000600000390.000000000000000,390,coastal-HI365,wb-2682,1.000000000000000,5.969685015603410,17.909055046810199,-158.100751924999997,21.339423924599998,-158.106969125000006,21.321172125800000
361,HI366,-158.220149268467736,21.478538680442352,o,i,0,1,,80000600002454.000000000000000,518,coastal-HI366,wb-2897,1.000000000000000,4.246932967503730,12.740798902511200,-158.205034318999992,21.487830516300001,-158.220074584999992,21.478336250500000
362,HI367,-158.177383346306897,21.571589796207842,o,i,0,1,,80000600000021.000000000000000,372,coastal-HI367,wb-2683,1.000000000000000,5.235003328899110,15.705009986697300,-158.177700519000012,21.569610244100001,-158.178005385000006,21.574192310499999
363,HI369,-157.978882054129940,21.695377077849592,o,i,0,1,,80000600001896.000000000000000,488,coastal-HI369,wb-2653,1.000000000000000,3.463445776889900,10.390337330669700,-157.977586924999997,21.691006501000000,-157.979419925000002,21.696430634100000
364,HI370,-158.240377948845719,21.545463693512250,o,i,0,1,,80000600000004.000000000000000,369,coastal-HI370,wb-2500,1.000000000000000,3.251379428786470,9.754138286359410,-158.222881583999992,21.551164712500000,-158.240406183000005,21.545468246399999
365,HI371,-158.229256391970694,21.534188466849745,o,i,0,1,,80000600002088.000000000000000,501,coastal-HI371,wb-2800,1.000000000000000,3.411660306996840,10.234980920990500,-158.229172984000002,21.534240113599999,-158.229626184000011,21.533997713600002
366,HI372,-158.225578380551724,21.530746040606147,o,i,0,1,,80000600001385.000000000000000,454,coastal-HI372,wb-2578,1.000000000000000,6.433435997995620,19.300307993986898,-158.216064184000004,21.530870313699999,-158.228324984000011,21.529861847199999
367,HI373,-158.227086915388639,21.526798743749765,o,i,0,1,,80000600000680.000000000000000,412,coastal-HI373,wb-2792,1.000000000000000,4.637628311904680,13.912884935714001,-158.204587118000006,21.515791047899999,-158.228177517000006,21.526942914100001
368,HI374,-158.227702664417109,21.505243013157273,o,i,0,1,,80000600001384.000000000000000,453,coastal-HI374,wb-2709,1.000000000000000,4.789083784777210,14.367251354331600,-158.210708184999987,21.504181715400001,-158.229481716999999,21.505287848799998
369,HI375,-158.201220565636760,21.463881824177349,o,i,0,1,,80000600001389.000000000000000,455,coastal-HI375,wb-2775,1.000000000000000,4.703739962817200,14.111219888451600,-158.196851718999994,21.467711384200001,-158.205660118999987,21.459015984899999
370,HI376,-158.181522913046138,21.457918156133928,o,i,0,1,,80000600001402.000000000000000,457,coastal-HI376,wb-2558,1.000000000000000,4.674677070685320,14.024031212055901,-158.180844586999996,21.459133917900001,-158.182327987000008,21.455405718200002
371,HI377,-158.176181716240364,21.455069586488765,o,i,0,1,,80000600000018.000000000000000,371,coastal-HI377,wb-3300,1.000000000000000,3.971997979052950,11.915993937158900,-158.173661786999986,21.456874318000001,-158.182327987000008,21.455405718200002
372,HI378,-158.147580288884143,21.435914295649784,o,i,0,1,,80000600001067.000000000000000,433,coastal-HI378,wb-2560,1.000000000000000,3.468765090431730,10.406295271295200,-158.141751521999993,21.427880586099999,-158.151779121000004,21.437635785600001
373,HI379,-158.148515175358483,21.439545197805163,o,i,0,1,,80000600002114.000000000000000,503,coastal-HI379,wb-2752,1.000000000000000,6.969358362181940,20.908075086545800,-158.142973922000010,21.441444718600000,-158.151779121000004,21.437635785600001
374,HI380,-158.146209225523734,21.399506908359164,o,i,1,1,,80000600001708.000000000000000,480,coastal-HI380,wb-2762,1.000000000000000,6.253741425415970,18.761224276247901,-158.107511522999999,21.415826786499998,-158.147637989000003,21.395247721600001
375,HI381,-158.137476775919339,21.378067345672214,o,i,0,1,,80000600000376.000000000000000,389,coastal-HI381,wb-2639,1.000000000000000,6.555067797447620,19.665203392342800,-158.127959390000001,21.387603788500002,-158.139886388999997,21.375792722800000
376,HI382,-158.130751352150583,21.360097926535268,o,i,0,1,,80000600002476.000000000000000,520,coastal-HI382,wb-2827,1.000000000000000,3.546115672141150,10.638347016423500,-158.124324989999991,21.370416322899999,-158.132024322999996,21.359526590400002
377,HI383,-158.126416299992485,21.347577198621916,o,i,0,1,,80000600002124.000000000000000,504,coastal-HI383,wb-2696,1.000000000000000,4.352645426930640,13.057936280791900,-158.125378323999996,21.348425191000000,-158.128722589999995,21.345643324600001
378,HI384,-157.981092054854457,21.396570571289480,o,i,0,1,,80000600002598.000000000000000,522,coastal-HI384,wb-2508,2.000000000000000,10.751869081154300,32.255607243462897,-157.984925728000007,21.399250786200000,-157.978227395000005,21.395523319700001
379,HI385,-157.947252114985758,21.393151820975426,o,i,0,1,,80000600000205.000000000000000,377,coastal-HI385,wb-2576,1.000000000000000,7.222475547161240,21.667426641483701,-157.946755996999997,21.393276186100000,-157.951296130000003,21.388883119799999
380,HI386,-157.949733915168963,21.392201214733390,o,i,1,1,,80000600001232.000000000000000,439,coastal-HI386,wb-2637,1.000000000000000,5.101014438606400,15.303043315819201,-157.948548929999987,21.398425519100002,-157.951054730000010,21.390159519699999
381,HI387,-157.939353949851949,21.384462802061144,o,i,0,1,,80000600001231.000000000000000,438,coastal-HI387,wb-2687,1.000000000000000,3.201770322856960,9.605310968570871,-157.931020730999990,21.392144919300002,-157.942223796999997,21.382977386699999
382,HI388,-157.936907616308986,21.382255356834548,o,i,0,1,,80000600001921.000000000000000,490,coastal-HI388,wb-2704,1.000000000000000,5.602764812949690,16.808294438849099,-157.931850931000014,21.387061986300001,-157.940607196999991,21.380642186799999
383,HI389,-157.929765241797782,21.378165541963167,o,i,0,1,,80000600001582.000000000000000,466,coastal-HI389,wb-2664,1.000000000000000,4.580122336731100,13.740367010193300,-157.910247531000010,21.388471985999999,-157.931717596999988,21.378079986900001
384,HI390,-157.918855645847344,21.368744625538440,o,i,0,1,,80000600001941.000000000000000,491,coastal-HI390,wb-2592,2.000000000000000,8.109847907892791,24.329543723678398,-157.914267531999997,21.370784987099999,-157.929930197999994,21.367874320799999
385,HI391,-157.885849282617642,21.345678906772530,o,i,0,1,,80000600000264.000000000000000,378,coastal-HI391,wb-2685,1.000000000000000,4.535854485058500,13.607563455175500,-157.883011533000001,21.348426788200001,-157.885055533000013,21.342484321899999
386,HI392,-157.893589597386239,21.350827551466303,o,i,0,1,,80000600001968.000000000000000,492,coastal-HI392,wb-2856,1.000000000000000,3.395993672807060,10.187981018421199,-157.891883132999993,21.351778188099999,-157.894609532999993,21.348423588300001
387,HI393,-157.892332006111360,21.345618930154551,o,i,1,1,,80000600000335.000000000000000,388,coastal-HI393,wb-2773,1.000000000000000,5.257971635489320,15.773914906468001,-157.860018200000013,21.371312119799999,-157.893079999000008,21.345026321799999
388,HI394,-157.895510869109813,21.352562379182686,o,i,0,1,,80000600002667.000000000000000,524,coastal-HI394,wb-2618,1.000000000000000,6.685212112578000,20.055636337734001,-157.895851598999997,21.353506188000001,-157.894609532999993,21.348423588300001
389,HI395,-157.867904422799995,21.333243119956112,o,i,0,1,,80000600001308.000000000000000,446,coastal-HI395,wb-2733,1.000000000000000,4.075513215684380,12.226539647053100,-157.845337400999995,21.347792787800000,-157.866349337999992,21.330722899400001
390,HI396,-157.854106423764421,21.316506021964372,o,i,0,1,,80000600001046.000000000000000,430,coastal-HI396,wb-2836,1.000000000000000,4.976214831552590,14.928644494657799,-157.827163602000013,21.331442121900000,-157.860892933999992,21.314942723300000
391,HI397,-157.855436231693233,21.321500325117935,o,i,0,1,,80000600000278.000000000000000,379,coastal-HI397,wb-2518,1.000000000000000,4.750997930042060,14.252993790126199,-157.844367334999987,21.335264588499999,-157.856991001000011,21.318731923000001
