OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
265,800014620,-157.191877427999998,21.115879527499999,-157.197764360999997,21.090375195000000,o,i,1,0,-157.196985076999994,21.091249130000001,HI-266
266,800010203,-157.185652828000002,21.118397327299999,-157.193493762000003,21.091026328900000,o,i,1,0,-157.193105013999997,21.092458354800002,HI-267
267,800014621,-157.180202962000010,21.122753726999999,-157.189404829000011,21.091302928899999,o,i,1,0,-157.188729884999987,21.092065603799998,HI-268
268,800003487,-157.180879228999999,21.106539393900000,-157.180141561999989,21.091288928699999,o,i,1,0,-157.180180046000004,21.092647234699999,HI-269
269,800012418,-157.177582761999986,21.110305993600001,-157.176181629000013,21.091399928700000,o,i,1,0,-157.176338496999989,21.093327568599999,HI-270
270,800007979,-157.171016828999996,21.108038993699999,-157.169728762000005,21.092419794500000,o,i,1,0,-157.169845081999995,21.093883781500001,HI-271
271,800003490,-157.162085829000006,21.099985793999998,-157.161403962999998,21.091705394500000,o,i,1,0,-157.162438075000011,21.094046224400000,HI-272
272,800005740,-157.151198163000004,21.116409992900000,-157.157731630000001,21.092718928400000,o,i,1,0,-157.157663283000005,21.093949570300001,HI-273
273,800007980,-157.147536363000000,21.105454193500002,-157.150374962999990,21.092394794299999,o,i,1,0,-157.150391761000009,21.094649878199998,HI-274
274,800010217,-157.134893162999987,21.098462327800000,-157.134670362999998,21.095285593900002,o,i,1,0,-157.134899280000013,21.097977148799998,HI-275
275,800010242,-157.001081301999989,21.108539191500000,-157.025127701000002,21.090487926800002,o,i,1,0,-157.020574044999989,21.094489594500001,HI-276
276,800010253,-156.967255902999995,21.103330925300000,-156.992263901999991,21.076943793100000,o,i,1,0,-156.991441893999990,21.078516935000000,HI-277
277,800002293,-156.960237503000002,21.093182991799999,-156.976147835999996,21.070669793299999,o,i,1,0,-156.975623740999993,21.072096783199999,HI-278
278,800003600,-156.914841437999996,21.061391926999999,-156.916417437999996,21.057589927199999,o,i,1,0,-156.914781277000003,21.059192137099998,HI-279
279,800003601,-156.908872505000005,21.060686992899999,-156.909672838000006,21.055830327199999,o,i,1,0,-156.908721963999994,21.058239995099999,HI-280
280,800003632,-156.879518039000004,21.059470926600000,-156.882133906000007,21.047538993300002,o,i,1,0,-156.879484859000002,21.055043740900000,HI-281
281,800017004,-156.871356238999994,21.060197992500001,-156.868529440000003,21.049469593000001,o,i,1,0,-156.869709879999988,21.054216974799999,HI-282
282,800015754,-156.848511239000004,21.102356723900002,-156.837399040000008,21.059688392100000,o,i,1,0,-156.837346485000012,21.059944005100000,HI-283
283,800012603,-156.829185239999987,21.073289525200000,-156.823612507999997,21.061652925800001,o,i,1,0,-156.825947436000007,21.064153716700002,HI-284
284,800003675,-156.805858908000005,21.072638125000001,-156.802601041000003,21.066818725200001,o,i,1,0,-156.804363316999996,21.070463321100000,HI-285
285,800017044,-156.808096040999999,21.098826923600001,-156.795527907999997,21.071302724900001,o,i,1,0,-156.796146915000008,21.073465615800000,HI-286
286,800012620,-156.807278908000001,21.103770123299999,-156.788625709000002,21.077433324499999,o,i,1,0,-156.789136570000011,21.077667966500002,HI-287
287,800001408,-156.785949641999991,21.081781724199999,-156.784416842000013,21.079996590299999,o,i,1,0,-156.785394064999991,21.081169869200000,HI-288
288,800005952,-156.788432308000012,21.094448123500001,-156.778380442000014,21.083697390000001,o,i,1,0,-156.779449386000010,21.085302187900002,HI-289
289,800017050,-156.775442308999999,21.089351189700000,-156.773236642000001,21.086467123799999,o,i,1,0,-156.773947286000009,21.087362072700000,HI-290
290,800014843,-156.763162509000011,21.100364722900000,-156.759997709000004,21.095398389100001,o,i,1,0,-156.760552415000006,21.096970127100001,HI-291
291,800010430,-156.748977709000002,21.128703787199999,-156.731140643000003,21.122173187300000,o,i,1,0,-156.731765083999989,21.122251760299999,HI-292
292,800010431,-156.751819108999996,21.131502787100001,-156.730767243000003,21.123887321200002,o,i,1,0,-156.731210368999996,21.124052645199999,HI-293
293,800014844,-156.740926642000005,21.136458386699999,-156.725818709999999,21.127685921000001,o,i,1,0,-156.726640940000010,21.128240972899999,HI-294
294,800003697,-156.732222709000013,21.155075185499999,-156.730455041999988,21.158255785400002,o,i,1,0,-156.730554457000011,21.158247357400001,HI-295
295,800010433,-156.750901241999998,21.164921518200000,-156.736168442000007,21.163727585099998,o,i,1,0,-156.736256824999998,21.163972603100000,HI-296
296,800003559,-156.958805035000012,21.157189321200001,-156.984783633999996,21.186912786899999,o,i,1,0,-156.983818735000000,21.186218921900000,HI-297
297,800003507,-157.110058629999997,21.184041788599998,-157.118115762000002,21.196722320999999,o,i,1,0,-157.118223811000007,21.196523587000001,HI-298
298,800003506,-157.125366028999991,21.195066188199998,-157.125653228999994,21.198408121000000,o,i,1,0,-157.125913881000002,21.197546660099999,HI-299
299,800003503,-157.126418828999988,21.180509989000001,-157.144163362000000,21.196851321299999,o,i,1,0,-157.143389229000007,21.195799020399999,HI-300
300,800016878,-157.147474361999997,21.188053588900001,-157.155499428000013,21.194340721600000,o,i,1,0,-157.150856717000011,21.191474121700001,HI-301
301,800012428,-157.163559028999998,21.142884991599999,-157.158370160999993,21.194136721700001,o,i,1,0,-157.162100419000012,21.194213118699999,HI-302
302,800003502,-157.153485560999997,21.188108521899998,-157.155499428000013,21.194340721600000,o,i,1,0,-157.154252920000005,21.191404189800000,HI-303
303,800012435,-157.097610830999997,21.118469526199998,-157.091932965000012,21.113358992399998,i,o,-1,0,-157.092977733999987,21.115304115299999,HI-304
304,800012434,-157.097151763999989,21.123407725900002,-157.097610830999997,21.118469526199998,o,i,1,0,-157.098023200999990,21.120014161099999,HI-305
