OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
80,800038865,-67.181103880899997,18.302757753500000,-67.180724880699998,18.294354418000001,o,i,1,0,-67.181198325899999,18.298832351300000,PRVI-81
81,800025978,-67.183540014700000,18.301913420199998,-67.182896481399993,18.295497351300000,o,i,1,0,-67.183731598700007,18.298881749300001,PRVI-82
82,800030319,-67.153246405299996,18.300285220199999,-67.155304072800007,18.293227151100002,o,i,1,0,-67.153106700199999,18.295310113700001,PRVI-83
83,800030376,-67.128283397700002,18.307897022799999,-67.141466710299994,18.280013505399999,o,i,1,1,-67.136630359899996,18.284895755899999,PRVI-84
84,800030376,-67.128283397700002,18.307897022799999,-67.141466710299994,18.280013505399999,o,i,1,1,-67.136630137899999,18.284885339900001,PRVI-85
85,800036858,-67.120939062000005,18.283816215900000,-67.126131263600001,18.280493414799999,o,i,1,0,-67.125445729399999,18.281022909000001,PRVI-86
86,800028262,-67.119518415499996,18.279070500500001,-67.126131263600001,18.280493414799999,o,i,1,0,-67.125090246200003,18.278744906299998,PRVI-87
87,800030422,-67.122212462400000,18.284724549100002,-67.125520463399994,18.282374815400001,o,i,1,0,-67.125209085300000,18.282483123399999,PRVI-88
88,800039016,-67.121757395399996,18.288703550299999,-67.125520463399994,18.282374815400001,o,i,1,0,-67.125096322299996,18.283378938700000,PRVI-89
89,800028221,-67.128101264400001,18.293390018600000,-67.129775019700006,18.283222116499999,o,i,1,0,-67.129507621700000,18.288106342999999,PRVI-90
90,800030378,-67.122302595600004,18.295959019400001,-67.129775019700006,18.283222116499999,o,i,1,0,-67.128259369299997,18.286244708500000,PRVI-91
91,800039017,-67.112612992400003,18.281890815400001,-67.111898404200005,18.280634392100001,o,i,1,0,-67.112431144300004,18.281173701200000,PRVI-92
92,800023967,-67.103626589800001,18.291039351300000,-67.107087082700005,18.282966439799999,o,i,1,0,-67.105631672300007,18.282938278800000,PRVI-93
93,800039015,-67.103071589400002,18.279465414899999,-67.115058348000005,18.271679817399999,o,i,1,1,-67.112340863200004,18.275146406400001,PRVI-94
94,800034662,-67.105855857099996,18.270837012299999,-67.112316925100004,18.270061060900002,o,i,1,0,-67.112010087000002,18.270461997100000,PRVI-95
95,800023930,-67.111137591599999,18.262396009700002,-67.115871725199995,18.270041652900002,o,i,1,0,-67.115608457099995,18.269238162600001,PRVI-96
96,800036857,-67.107766190600003,18.264884210500000,-67.112720633199999,18.270178660999999,o,i,1,0,-67.112649893200000,18.269949706900000,PRVI-97
97,800030421,-67.109202682200007,18.271615684400000,-67.112316925100004,18.270061060900002,o,i,1,0,-67.112143544099993,18.270549937100000,PRVI-98
98,800036826,-67.133415998199993,18.245769137500002,-67.138003466900003,18.259037208300001,o,i,1,1,-67.135180934800005,18.250365035800002,PRVI-99
99,800036827,-67.124622662600004,18.249579205700002,-67.138003466900003,18.259037208300001,o,i,1,0,-67.127830787600004,18.253493461800002,PRVI-100
100,800030370,-67.118484393800003,18.254110340099999,-67.134009304599999,18.258986482299999,o,i,1,0,-67.127544721600003,18.256016567600000,PRVI-101
101,800032514,-67.123409395400003,18.259046808499999,-67.134009304599999,18.258986482299999,o,i,1,0,-67.128433453900001,18.259119621499998,PRVI-102
102,800030316,-67.143651515399995,18.245862184300002,-67.158384297200001,18.258355208800001,o,i,1,0,-67.147120658500000,18.248333922000000,PRVI-103
103,800034574,-67.152198470900004,18.236545134400000,-67.152154607000000,18.244096589700000,o,i,1,0,-67.151905735900002,18.240324700599999,PRVI-104
104,800038911,-67.158913672899999,18.233751533500001,-67.162790528299993,18.244662716699999,o,i,1,0,-67.159331140099994,18.236273590300002,PRVI-105
105,800036774,-67.157078272400000,18.236601334400000,-67.157595872599998,18.241434002799998,o,i,1,0,-67.157056427399993,18.240165536399999,PRVI-106
106,800028182,-67.148047202699999,18.242271803200001,-67.152154607000000,18.244096589700000,o,i,1,0,-67.148971004000003,18.245000783999998,PRVI-107
107,800036720,-67.167607808499994,18.228470598800001,-67.171084676600003,18.230655799400001,o,i,1,0,-67.168811579899995,18.230236282300002,PRVI-108
108,800032461,-67.161651873699995,18.230938799699999,-67.168235875799994,18.234115733500001,o,i,1,0,-67.162067583799995,18.231332994799999,PRVI-109
109,800034569,-67.163093474099995,18.226326731299999,-67.166502875199996,18.230173132299999,o,i,1,0,-67.166673003200003,18.229829036200002,PRVI-110
110,800032462,-67.156438471900003,18.220161796599999,-67.158095539399994,18.216798261499999,o,i,1,0,-67.155971665799996,18.219543542400000,PRVI-111
111,800034571,-67.151448670400001,18.220312129700002,-67.153159470800006,18.215470728200000,o,i,1,0,-67.151359782300005,18.218133179999999,PRVI-112
112,800030363,-67.135027065200006,18.212960194800001,-67.140750866999994,18.214099995000002,o,i,1,0,-67.139147170499996,18.213917707000000,PRVI-113
113,800038963,-67.139083599499997,18.217068928900002,-67.140750866999994,18.214099995000002,o,i,1,0,-67.140846334000003,18.215919294500001,PRVI-114
114,800023821,-67.154402671300005,18.218724929200000,-67.154389071200001,18.214920195000001,o,i,1,0,-67.154422790300003,18.218654207099998,PRVI-115
115,800028211,-67.126697570499999,18.207206381199999,-67.131596089900000,18.201205855400001,o,i,1,0,-67.127792370799995,18.206477437000000,PRVI-116
116,800038964,-67.136108665400002,18.209614926800000,-67.137842665999997,18.208371593399999,o,i,1,0,-67.136857829700006,18.208527951400001,PRVI-117
117,800028210,-67.129104793099998,18.201674608499999,-67.131596089900000,18.201205855400001,o,i,1,0,-67.131319401799999,18.201247320400000,PRVI-118
118,800034565,-67.145154667699998,18.179217117699999,-67.161291072799997,18.184296185899999,o,i,1,1,-67.149364187000003,18.177628395100001,PRVI-119
119,800036753,-67.157467870900007,18.139709172800000,-67.152652469399996,18.143710307100001,o,i,1,0,-67.153857979799994,18.142482619700001,PRVI-120
120,800034557,-67.152284002200005,18.138166172500000,-67.148592268100003,18.139358705900001,o,i,1,0,-67.150450358599997,18.137266801199999,PRVI-121
121,800034552,-67.152588269199995,18.128711969699999,-67.149445564199993,18.129997001100001,o,i,1,0,-67.150610351599994,18.129165376800000,PRVI-122
122,800038890,-67.152894069400006,18.135449371600000,-67.148597979000002,18.132075303699999,o,i,1,0,-67.150898631700002,18.133738205200000,PRVI-123
123,800038886,-67.158491671099995,18.132320303600000,-67.148917599100002,18.130596741300000,o,i,1,0,-67.150808241700005,18.131042501400000,PRVI-124
124,800023860,-67.149674801200007,18.127807302400001,-67.149445564199993,18.129997001100001,o,i,1,0,-67.149226583100003,18.128533091700000,PRVI-125
125,800023863,-67.143181466200005,18.124106901499999,-67.141266009700004,18.128177098700000,o,i,1,0,-67.142027280899995,18.126497136200001,PRVI-126
126,800032504,-67.125652667899999,18.134146401700001,-67.130915138600002,18.134803957799999,o,i,1,0,-67.126359047099996,18.134248488699999,PRVI-127
127,800034601,-67.120590203299997,18.131986395100000,-67.132623434099997,18.133655789399999,o,i,1,0,-67.123145732099999,18.130068940499999,PRVI-128
128,800038955,-67.126208994199999,18.140142306400001,-67.130915138600002,18.134803957799999,o,i,1,0,-67.129083144999996,18.136666525399999,PRVI-129
129,800023870,-67.124622683799998,18.146185476300001,-67.132690386099995,18.134576070700000,o,i,1,0,-67.131515008799994,18.136618986300000,PRVI-130
130,800028198,-67.129145542399996,18.098475566099999,-67.134797931300000,18.104952965900001,o,i,1,0,-67.129977328699994,18.099590814399999,PRVI-131
131,800038946,-67.146312267100001,18.120847900400001,-67.138773706699993,18.117914962699999,o,i,1,0,-67.138814748700000,18.117869774700001,PRVI-132
132,800034551,-67.153154006799994,18.099132556899999,-67.151770633400005,18.099750703100000,o,i,1,0,-67.152444267600004,18.099460487999998,PRVI-133
133,800030344,-67.148748621300001,18.087176061499999,-67.144307418200000,18.103911451500000,o,i,1,0,-67.147207491000003,18.099377838100001,PRVI-134
134,800038943,-67.144713466100001,18.089974291400001,-67.142097736400004,18.100843383600001,o,i,1,0,-67.143745166900004,18.095539147000000,PRVI-135
135,800032368,-67.102627168100000,18.094381784300001,-67.136062272800004,18.111941531999999,o,i,1,0,-67.129331523600001,18.104600129900000,PRVI-136
136,800032541,-67.116209057700004,18.117914367000001,-67.122066300599997,18.119202241299998,o,i,1,0,-67.121343603300005,18.118940460299999,PRVI-137
137,800032543,-67.104547573999994,18.110307481000000,-67.122066300599997,18.119202241299998,o,i,1,0,-67.122464621700004,18.118327735099999,PRVI-138
138,800032499,-67.116065232799997,18.123112601599999,-67.132557388999999,18.130004974399998,o,i,1,1,-67.126504466100002,18.126904628500000,PRVI-139
